Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Life Kitchen,Pimple Saudagar,,0,,['Healthy Food']
Kavita Foods,Wadgaon Sheri,0,0,,"['Maharashtrian', 'North Indian']"
Food Funda,Pimple Gurav,,0,250,"['Beverages', 'Fast Food']"
Rolls Royal,Sinhgad Road,3.5,,200,"['Rolls', 'Momos', 'Fast Food']"
Cafe Durga,Bhosari,,0,200,"['Fast Food', 'South Indian']"
Andhra Hyderabad Biryani,Yerawada,,0,400,"['Biryani', 'Chinese', 'Hyderabadi']"
Taste Of Punjabz,Hadapsar,3.1,,500,"['North Indian', 'Chinese']"
Food Juction,Yerawada,3.1,,200,"['Fast Food', 'North Indian']"
Hotel Rajmudra,Sinhgad Road,,0,300,['Maharashtrian']
Master Chef,Wakad,,0,,"['North Indian', 'Maharashtrian', 'Chinese']"
Bread Buns,Dhankawadi,,0,250,['Fast Food']
The Khandeshi Katta,Sinhgad Road,,0,200,['Maharashtrian']
Hungry Hippie,Kothrud,,0,,"['Fast Food', 'Chinese', 'North Indian']"
The Weastern Food,Wagholi,,0,,"['North Indian', 'Chinese']"
The Dragon Story,Hinjawadi,,0,,"['Chinese', 'North Indian']"
Bro Combo,Katraj,,0,,"['Pizza', 'Fast Food']"
The Buns & Rolls Company,Viman Nagar,,0,,"['Burger', 'Rolls']"
The Shanghai Street,Hinjawadi,,0,,['Chinese']
Kartiki Caterers,Pimpri Chinchwad Area,,0,,['Biryani']
Spicy Express,Hinjawadi,,0,,['Chinese']
Shree Ram Food Junction,Karve Nagar,,0,300,['Maharashtrian']
Shegaon Kachori Center,Viman Nagar,,0,150,"['Street Food', 'Fast Food']"
Only Nonveg,Pimple Nilakh,,0,,['Maharashtrian']
Signature Kolkata - Home Style Bengali Kitchen,Wakad,,0,400,"['Bengali', 'Mughlai', 'Biryani', 'Rolls']"
Jadhav Wadewale,Chinchwad,,0,150,['Street Food']
Chinese Katta,Sinhgad Road,3.4,,,['Chinese']
Hotel Rubab,Viman Nagar,,0,,"['North Indian', 'Chinese', 'Mughlai']"
Classic Fries And Burger,Dhole Patil Road,,0,200,"['Burger', 'Fast Food']"
Hotel Samrudhi,Kharadi,3.3,,350,['North Indian']
Kamate Foods And Tiffin Services,Hinjawadi,,0,200,['Maharashtrian']
The Noodle Xprs,Hinjawadi,,0,,['Chinese']
Tawakkal Meals,Hadapsar,,0,300,"['Maharashtrian', 'Biryani']"
Aai's Kitchen,Hinjawadi,,0,,"['North Indian', 'Chinese']"
Khuraak Foods Pure Veg,Kharadi,,0,550,"['Chinese', 'North Indian', 'Fast Food']"
Renuka's Non Veg,Warje,,0,200,['Maharashtrian']
SP Restro,Wagholi,0,0,300,['North Indian']
The Spicy Herbs,Hadapsar,,0,,"['Chinese', 'Pizza', 'Fast Food']"
Master Chef,Wagholi,,0,,"['Rolls', 'North Indian', 'Street Food']"
Frizzle Restaurant,Pimpri Chinchwad Area,0,0,,['Fast Food']
Punjabi Mess,Viman Nagar,,0,250,['North Indian']
Creative Food Catering,Lonavala,,0,600,"['Biryani', 'North Indian', 'Mughlai']"
Delicious Delights,Kothrud,,0,300,"['Chinese', 'Fast Food']"
Zahra Cakes,Koregaon Park,,0,550,"['Bakery', 'Desserts']"
Cafe Andra,Katraj,,0,100,['South Indian']
Ambe  Snacks Centre,Viman Nagar,,0,150,['Street Food']
Shivratna,Mahalunge,,0,800,"['Chinese', 'North Indian']"
Sandwich King,Aundh,3.3,,,['Sandwich']
JB Cafe,Kondhwa,,0,150,['Fast Food']
Eat It,Sinhgad Road,3.1,,500,"['North Indian', 'Fast Food', 'Beverages']"
Shree Krishna Dabeli & Burger,Pimple Saudagar,,0,150,['Street Food']
Hotel Prerna,Kothrud,,0,250,['Maharashtrian']
Tummy Treats,Kharadi,,0,200,['South Indian']
Jeevan Tea Center,Warje,,0,100,"['Beverages', 'Street Food']"
Chinese Addicted,Wakad,3.1,,300,['Chinese']
Chinese Junction,Wakad,3.1,,200,"['Chinese', 'Fast Food']"
Shreeji Ice Cream,Dhankawadi,,0,150,"['Ice Cream', 'Beverages']"
Small Hunger,Kothrud,,0,,['Fast Food']
SK Meal Home,Karve Nagar,3.6,,,"['North Indian', 'Chinese', 'Fast Food', 'Maharashtrian']"
Creamz Masterz,Lonavala,,0,200,['Fast Food']
Alfa Q Restaurant,Kharadi,,0,600,"['North Indian', 'Chinese']"
Spicy Affairs,Sadashiv Peth,3.1,,300,"['Fast Food', 'Chinese']"
Nivis Paratha,Wakad,,0,,['North Indian']
Kitchen Affairs,Sadashiv Peth,,0,,"['North Indian', 'Chinese']"
Sairup Hill Family Restaurant,Hadapsar,,0,1000,"['North Indian', 'Chinese']"
Aksh Cakes,Pimple Saudagar,,0,400,['Bakery']
Bunwich Central,Lohegaon,,0,200,['Fast Food']
Roll Baby Roll,Kharadi,,0,,['Rolls']
Creamz Masters,Lonavala,,0,200,"['Cafe', 'Fast Food']"
Quenchers by Barista,Pimple Saudagar,,0,,"['Beverages', 'Desserts']"
Only Eggs-Eggsclusive,Viman Nagar,,0,,['Fast Food']
Hotel Daawat-E-Punjab Veg Non-Veg,Hadapsar,,0,500,"['North Indian', 'Chinese']"
Ayushi Restaurant,Bavdhan,3.1,,200,"['North Indian', 'Fast Food']"
Ek Omkar,Aundh,,0,,['North Indian']
Kokan Food Veg Non-Veg,Talegaon,,0,300,"['Malwani', 'Seafood']"
Punjab Express,Kharadi,,0,400,['North Indian']
Balaji Bhel And Snacks Center,Kothrud,,0,100,"['Maharashtrian', 'Street Food']"
Shri Sai Chatra Snacks Center,Sinhgad Road,,0,300,['Fast Food']
Shrisha's Kitchen,Pashan,,0,,"['North Indian', 'Street Food']"
Hotel Shivam,Hinjawadi,3.1,,450,"['North Indian', 'Maharashtrian']"
Mo Combo,Lohegaon,,0,300,"['Fast Food', 'Sandwich']"
New Rajdhani Caterers,Aundh,,0,,['Biryani']
Hotel Gurudev,Kharadi,,0,200,['North Indian']
Pragati Restaurant,Lohegaon,3.2,,400,"['North Indian', 'Chinese', 'Maharashtrian']"
Maharashtra Chinese and Biryani House,Mahalunge,,0,300,['Chinese']
Heritage Biryani,Khadki,0,0,,['Biryani']
Mahalaxmi Caterers,Wagholi,,0,250,['Chinese']
Hotel New Pallavi,Kothrud,,0,250,"['North Indian', 'Fast Food']"
Lucky Chinese And Snacks Center,Kondhwa,,0,300,['Chinese']
Bubbles Cafe,Wadgaon Sheri,,0,200,"['Fast Food', 'Beverages']"
Urban Meals,Aundh,,0,,"['North Indian', 'Biryani', 'Fast Food']"
Taste Of Tikka,Pimpri Chinchwad Area,,0,,"['Kebab', 'Fast Food']"
Shree Sadguru Snacks Center,Rasta Peth,,0,,['Fast Food']
Bunwich Central,Kharadi,,0,250,['Fast Food']
Veggie Treat,Hadapsar,,0,250,"['North Indian', 'Chinese']"
The Noon Kitchen,Kondhwa,,0,200,"['North Indian', 'Chinese']"
Hotel Kishan Kanhaiyya,Talegaon,,0,250,['North Indian']
Indrayani Cafe,Talegaon,,0,150,['South Indian']
Vintage Thali,Mundhwa,,0,,['North Indian']
Aapla Corner,Talegaon,,0,150,['South Indian']
Seemas Kitchen,Wanowrie Kondhwa Area,,0,,['Fast Food']
Cafe Azaad-E-Hind,Camp Area,,0,150,"['Street Food', 'Fast Food']"
Nawabi Biryanis And Kheema,Dhankawadi,3.1,,,"['Biryani', 'Mughlai']"
Angrez Biryani,Aundh,,0,,"['Biryani', 'North Indian', 'Maharashtrian']"
Pooja Restaurant,Bhosari,,0,250,['North Indian']
Rudra Hotel,Wagholi,,0,400,"['North Indian', 'Chinese', 'Malwani', 'Hyderabadi']"
Hunger Cafe,Talegaon,,0,200,"['Chinese', 'Rolls']"
Shivshakti Chinese And Snacks Centre,Yerawada,,0,400,"['Biryani', 'Chinese']"
Hotel Pm To Am,Wakad,,0,,['Fast Food']
Eat-n-Dream,Wakad,,0,,['North Indian']
Bunk Cafe BC,Pimple Gurav,,0,150,"['Fast Food', 'Beverages']"
Param Panchwati Dining Hall,Chakan,,0,200,['Gujarati']
Hotel Aditya,Wagholi,2.5,,400,"['North Indian', 'Chinese']"
Home Chef,Katraj,,0,200,"['North Indian', 'Fast Food', 'Street Food']"
S R Chinese,Katraj,3.1,,250,['Chinese']
Puneon,Baner,3.9,70,700,"['Continental', 'Asian', 'Italian']"
Shahi Hotel,Parvati,,0,250,['Maharashtrian']
Swaraj Matnawal And Snacks Centre,Erandwane,,0,400,['North Indian']
Shree Babulnath Dairy And Snacks Center,Budhwar Peth,,0,200,['Street Food']
Atithi Snacks,Dhole Patil Road,,0,150,"['South Indian', 'North Indian', 'Maharashtrian']"
Mr. Kheema,NIBM Road,3,,,"['Fast Food', 'Arabian']"
Shukran,KP and Kalyani,,0,,"['Healthy Food', 'Salad']"
Jalraj Da Dhaba,Koregaon Park,3.3,,300,"['North Indian', 'South Indian', 'Bengali', 'Beverages']"
Crowd 63,Hinjawadi,,0,1000,"['North Indian', 'Chinese']"
Seema Foods,Parvati,,0,150,['Maharashtrian']
Machineheads BBQ,Wagholi,0,0,300,"['Fast Food', 'Healthy Food']"
Renuka Kolhapuri,Shivapur,,0,450,"['Malwani', 'North Indian']"
Two Spoons,Bhosari,,0,150,"['Chinese', 'North Indian']"
Shree Mahalaxmi Ice Creame Parlour,Yerawada,,0,200,['Ice Cream']
The Food Court,Wakad,3.2,7,250,"['Fast Food', 'Beverages']"
Charthankar Snacks Center,Karve Nagar,,0,100,['Maharashtrian']
Hotel Sonali,Bhosari,,0,600,"['North Indian', 'Chinese', 'Mughlai']"
Tulsi Snacks Centre,Shivaji Nagar,,0,100,"['Fast Food', 'Beverages']"
Cafe Coffee Tea,Kondhwa,,0,400,"['Fast Food', 'Cafe']"
Flo,Kothrud,,0,200,"['Bakery', 'Desserts', 'Fast Food']"
Twarja Snacks Center,Kothrud,,0,250,['Fast Food']
Om Sai Restaurant,Katraj,,0,400,['North Indian']
Shree Paripoorna Bhojnalay,Katraj,,0,250,"['Maharashtrian', 'North Indian']"
Siddhidata,Sadashiv Peth,,0,250,"['North Indian', 'Chinese', 'Fast Food']"
Metro Snack Centre And Fast Food,Wanowrie,,0,100,['Fast Food']
The Chinese Stove,Kharadi,,0,200,"['Chinese', 'North Indian']"
The Cake & Cream Factory,Parvati,,0,300,['Bakery']
Shabnam Hotel,Yerawada,2.9,6,250,"['North Indian', 'Mughlai']"
Hotel Sai 24,Sinhgad Road,3.2,,250,"['Chinese', 'North Indian']"
Shree Krrishna Vadewale,Kondhwa,,0,200,"['Maharashtrian', 'South Indian']"
Hotel Chandrama,Dhankawadi,,0,300,['Chinese']
Arianne Kitchen,Dhanori,3.1,,200,"['Chinese', 'North Indian']"
Hotel Rasoi,Hinjawadi,,0,300,['North Indian']
SA Ricewale Hungry Food,Pimpri Chinchwad Area,,0,200,['Maharashtrian']
Royal Garden,Bibvewadi,2.8,,200,"['Chinese', 'Fast Food']"
K G Mama,Balewadi,,0,600,"['North Indian', 'Chinese']"
Tara's Kitchen,Bavdhan,3.2,11,,"['North Indian', 'South Indian', 'Maharashtrian']"
Mitesh Pavbhaji Center,Katraj,,0,400,['Street Food']
Hotel Indraprasth,Dhankawadi,,0,400,['North Indian']
Kanifnath,Kondhwa,,0,150,"['Fast Food', 'Beverages']"
Saoji Biryani House,Pimple Saudagar,,0,,['Maharashtrian']
Royal Foods,Lohegaon,3.2,15,400,"['Chinese', 'North Indian']"
BOLLYWOOD KITCHEN,Bhosari,3,,250,"['North Indian', 'Chinese', 'Continental', 'South Indian']"
Walk N Roll Cafe,Pimple Gurav,,0,200,"['Rolls', 'Fast Food']"
Idli Express,Karve Nagar,,0,300,"['South Indian', 'Chinese']"
Foodies Multi Cuisine,Dhankawadi,3.4,,,"['North Indian', 'Mughlai']"
Nookkad,Sus,3,,200,"['Street Food', 'Mithai']"
Vakratunda,Chinchwad,3.5,17,150,['Street Food']
Let's Eat Shawarmas and Rolls,Pimple Gurav,,0,200,['Fast Food']
Z Plus Hotel And Caterers,Kharadi,,0,250,"['Maharashtrian', 'Chinese']"
Shivneri Family Restaurant,Pimple Gurav,3,,400,"['North Indian', 'Chinese']"
N S Cafe,Katraj,3.5,26,150,['Fast Food']
Eatos Stuffed Stories,Pimple Saudagar,3.2,,300,['North Indian']
Hotel Shubhangi,Aundh,,0,400,"['North Indian', 'South Indian', 'Street Food']"
Ask Dosa Point,Kondhwa,0,0,150,['South Indian']
Cafe Saheeha,Kondhwa,,0,200,['Street Food']
Tasty,Viman Nagar,,0,150,['Gujarati']
Hotel Janai,Koregaon Park,,0,300,"['North Indian', 'Maharashtrian']"
Coffee Zone,Hadapsar,3.5,,150,['Beverages']
Home Made Chocolates,Khadki,,0,300,['Desserts']
Hotel Jay Malhar,Bavdhan,3.2,,400,"['North Indian', 'Maharashtrian']"
Aahar Veg Court,Bibvewadi,,0,300,['Maharashtrian']
Grace Biryani House,Expressway,3,,500,"['South Indian', 'Biryani']"
New Reddy's Restaurant,Vishrantwadi,,0,400,"['North Indian', 'Chinese']"
Harsh Cake And Cream,NIBM Road,,0,700,['Bakery']
China Town,Pimple Gurav,,0,300,['Chinese']
Kavya Pav Bhaji,Kondhwa,,0,,['Street Food']
Hotel Swaad,Sinhgad Road,,0,250,"['North Indian', 'Fast Food']"
Mauli,Hadapsar,,0,200,['North Indian']
Desai Biryani Center,Karve Nagar,3,4,200,['Biryani']
AS Restaurant Chinese Fast Food,Chinchwad,,0,400,"['Chinese', 'Lebanese', 'Biryani']"
R Samarth's Cafe,Balewadi,,0,250,['Street Food']
Poonam Egg Plaza,Pimpri,,0,150,['North Indian']
Hotel Maratha Biryani House,Shivane,,0,400,"['Maharashtrian', 'Biryani']"
Biryaninama,Pimpri Chinchwad Area,2.9,,,"['Biryani', 'Hyderabadi', 'North Indian', 'Mughlai']"
Cake World,Lohegaon,,0,200,"['Bakery', 'Desserts']"
Delight Dhaba & Cafe,Ravet,,0,300,"['North Indian', 'Fast Food', 'Street Food']"
Maharani Veg & Nonveg,Viman Nagar,2.8,,350,"['North Indian', 'Chinese', 'South Indian']"
Shawarma Cafe,Katraj,3.3,15,350,"['Lebanese', 'Fast Food']"
Cafe Abhi,Parvati,,0,300,['Fast Food']
Ziyafat Biryani,Kothrud,3.5,20,350,"['Biryani', 'North Indian']"
East India Co.,Kharadi,0,0,1200,"['North Indian', 'Continental', 'Chinese']"
Cafe Cheese And Ice,Katraj,3.3,15,250,"['Desserts', 'Fast Food', 'Beverages']"
Rocky Chinese Corner,Pimpri,3.1,,250,['Chinese']
Hotel Shivani,Wadgaon Sheri,,0,300,['Chinese']
Tasty-The Taste Of Gujarat,Viman Nagar,,0,200,['Fast Food']
Ziyafat Biryani,Bavdhan,,0,300,['Biryani']
Tirupati Dinning Hall,Pimple Gurav,2.9,,400,['North Indian']
Matoshri Dosa And Snacks Centre,Wagholi,2.7,,300,"['South Indian', 'Fast Food']"
Samrat Cafe,Wadgaon Sheri,3.6,26,450,"['North Indian', 'Street Food', 'South Indian', 'Chinese']"
Cafe Twilight,Kothrud,3.4,46,300,['Cafe']
Ignite Crunch & Cafe,Pimpri,2.9,,300,['Cafe']
Dosa King,Dange Chowk,,0,150,['South Indian']
The Shaukeens,Pune-Solapur Road,3.1,,400,"['North Indian', 'Chinese']"
New Goodluckk Cafe,Hinjawadi,3.5,,150,['Fast Food']
Arya Snack Center,Katraj,,0,100,['South Indian']
Kaveri Upahar Gruh,Katraj,,0,200,['North Indian']
चमMuch Misal & Pav Bhaji House,Dhankawadi,,0,250,['Street Food']
J's Catering Operations,Pimpri,3.3,,200,['Biryani']
The Protein Room,Shivaji Nagar,,0,400,['Healthy Food']
Chinese Express,Karve Nagar,3.1,,300,['Chinese']
Suprabhat Idli Point,Wagholi,,0,200,['South Indian']
The Royal Treat,Pimple Saudagar,3.3,20,,['North Indian']
Jeet Fast Food,Kharadi,3.1,,300,"['North Indian', 'Chinese', 'Fast Food', 'Biryani']"
Swad Biryanis,Lohegaon,,0,500,"['Biryani', 'Maharashtrian']"
FooDoZ,Katraj,3.1,,,"['Gujarati', 'South Indian']"
The Cake House,Hinjawadi,,0,350,"['Bakery', 'Desserts']"
Hotel Sadhana,Yerawada,3.1,,350,"['North Indian', 'Chinese', 'Mughlai']"
Mr. Biryani Specialist,Katraj,,0,,['Biryani']
Ganesh Bhavan,Ghorpadi,,0,250,"['Mithai', 'Street Food']"
The Kabab & Curry,Wanowrie Kondhwa Area,3.6,105,,"['BBQ', 'Kebab', 'Mughlai']"
Hotel Shlok Chinese Center,Mulshi Road,,0,250,['Chinese']
Power Parathe Wale,KP and Kalyani,3.3,,,"['North Indian', 'Sandwich']"
Mighty Millets,Swargate,,0,,['Healthy Food']
Sagar Sweets,KP and Kalyani,2.9,,250,"['Bakery', 'Street Food', 'Mithai']"
Marwadi Jalebi Junction,Warje,3,,150,['Mithai']
Utkarsh Snacks Center,Narhe,,0,200,"['Fast Food', 'South Indian']"
Monu's Diner,Dhole Patil Road,,0,400,"['Chinese', 'Street Food']"
The Sanghai Court,Hinjawadi,,0,300,"['Chinese', 'North Indian']"
Mr.Chefer,Baner,,0,,"['North Indian', 'Chinese', 'Mexican', 'Italian']"
Indikitch Southwest,Kharadi,3.6,34,400,"['Chinese', 'North Indian', 'Street Food']"
G Annapurna Catering,Dhankawadi,,0,,['Maharashtrian']
New Pune Cafe,Fatima Nagar,3.2,5,300,['Chinese']
Sarathi - The Tasty Corner,Kondhwa,3.2,9,350,"['Chinese', 'North Indian']"
Apnaa Indore,Dhole Patil Road,3.4,9,200,"['Street Food', 'Fast Food', 'South Indian', 'Beverages']"
Simply South Dakshin Dosawala,Wagholi,,0,300,['South Indian']
Traditional Zaika,Pune-Solapur Road,,0,200,['North Indian']
Sanjha Choolha,Dhankawadi,,0,300,"['North Indian', 'Chinese']"
Cafe Rubab,Lohegaon,,0,300,"['Cafe', 'Fast Food']"
The Broken Egg,Aundh,,0,300,['Fast Food']
Rasik Paan Shop,Sinhgad Road,3.2,,100,['Paan']
Jiana's Cafe,Wagholi,,0,100,['Fast Food']
Indian Restaurant,Bibvewadi,,0,300,['North Indian']
City Pride Bar And Restro,Pimpri,,0,700,"['North Indian', 'Chinese']"
Hotel Abundance,Mahalunge,,0,300,"['Maharashtrian', 'South Indian']"
Lambodar Swayampak Ghar,Kothrud,,0,,"['Maharashtrian', 'Beverages']"
The Cafe Katta,Lohegaon,,0,150,"['Fast Food', 'Beverages']"
Royal Cafe,Kondhwa,,0,200,"['Fast Food', 'Beverages']"
Rahul Misal,Lohegaon,,0,250,"['Maharashtrian', 'Chinese', 'North Indian', 'South Indian']"
Aary Pure Veg Restaurant,Wakad,,0,300,"['North Indian', 'South Indian', 'Chinese']"
Cocktail Food Court,Katraj,3.1,,150,"['Fast Food', 'Cafe']"
Bhandary Family Restaurant,Chinchwad,,0,350,"['North Indian', 'Fast Food']"
Hobbit Rolls & Chinese,Pimple Saudagar,,0,300,['Chinese']
Sultan Biryani And Kabab,Lohegaon,,0,250,['North Indian']
Royal Burgers And Momos,Lohegaon,3,4,200,"['Burger', 'Momos', 'Chinese', 'Pizza']"
A1 Andda Bhurji Centre,Katraj,3,,150,['Street Food']
S.K. Chinese Center,Sus,,0,300,['Chinese']
Krishna Snack Center,Kondhwa,,0,100,"['Street Food', 'North Indian']"
Desi Chinese,Dhankawadi,3,,300,['Chinese']
Aaryan's Kitchen,Wagholi,,0,300,"['Bengali', 'Chinese', 'Pizza']"
Hotel Shivansh,Sadashiv Peth,,0,500,"['North Indian', 'Chinese']"
Mumbai Kebabs,Viman Nagar,3.3,,450,"['Chinese', 'North Indian']"
Savera Cafe,Hadapsar,,0,100,['Fast Food']
Cafe Berry,Akurdi,,0,400,['Fast Food']
World Of Ice Creams,Dhankawadi,,0,200,['Ice Cream']
Minerva,Hinjawadi,,0,300,"['North Indian', 'Biryani']"
Arena's Biryani,Balewadi,,0,250,['Biryani']
Hotel Karbhari,Hadapsar,,0,500,"['Maharashtrian', 'South Indian']"
Foodastic,Hinjawadi,3.4,,200,['North Indian']
TCG - The Cheese Games,Aundh,3.4,14,,"['Italian', 'Fast Food']"
Cafe Bellissimo,Dhanori,3,,500,['Fast Food']
SPS Delicious Kitchen,Parvati,3.1,,300,['North Indian']
The Magic Plate,Narhe,,0,200,"['North Indian', 'Fast Food']"
Flavours,Hinjawadi,,0,200,"['North Indian', 'Chinese']"
Videshi Burgers,Wagholi,3,,,"['Burger', 'Fast Food']"
Jayhind Biryani's,Dhankawadi,0,0,400,"['Maharashtrian', 'North Indian', 'Chinese']"
Hot Plate,Akurdi,,0,100,"['South Indian', 'Fast Food']"
The Kitchen Story,Dhankawadi,3.1,,,"['Fast Food', 'North Indian', 'South Indian']"
Krrishnai Veg,Hadapsar,,0,150,['South Indian']
Amore Kitchens,Hadapsar,,0,200,['North Indian']
Hotel Shivshai,Pune-Solapur Road,,0,200,"['Fast Food', 'South Indian']"
Dipika Restaurant & Beer Bar,NIBM Road,,0,600,"['North Indian', 'Chinese', 'Beverages']"
Nile Bakers Cafeteria,Wakad,,0,100,"['Bakery', 'Fast Food']"
Biryani Nation,Wagholi,,0,,"['Biryani', 'Fast Food']"
The Maharaja Biryani,Sinhgad Road,,0,400,"['Biryani', 'North Indian']"
Cuisy Cafe,Katraj,,0,200,"['Fast Food', 'Street Food']"
Hotel Sarja,Katraj,,0,300,"['South Indian', 'North Indian', 'Chinese', 'Fast Food']"
Quiky South,Hadapsar,,0,200,"['South Indian', 'Street Food']"
Lucky Cafe,Warje,,0,150,['Beverages']
Jay Tulajabhavani Bhojanalay,Pashan,,0,300,['North Indian']
Flavours,Hinjawadi,3.1,6,450,"['Chinese', 'North Indian', 'Momos']"
Cafe Yoga Yog Snack,Dhankawadi,,0,100,['Fast Food']
Flavours,Hinjawadi,,0,300,"['Chinese', 'Thai', 'Nepalese']"
Puneri BBQ House,Pimpri,,0,350,['Fast Food']
New Lucknow Catering,Kharadi,,0,300,"['North Indian', 'Biryani']"
Jai Jotiba Dining,Dhankawadi,,0,400,"['Maharashtrian', 'North Indian']"
Asian Street Food,Pimpri,,0,300,['North Indian']
6 Muffins,Karve Nagar,,0,200,['Bakery']
House of Biryani,Sinhgad Road,3.1,,,"['Biryani', 'Chinese']"
Tarri Misal,Wagholi,,0,100,['Maharashtrian']
Roshan Snacks Center,Dhole Patil Road,,0,150,['Street Food']
Yashoda Nandan Dairy & Fast Food,Lohegaon,3.1,,200,"['Street Food', 'South Indian']"
Shree Kal Bhairavnath,Hinjawadi,,0,200,"['North Indian', 'Street Food']"
Rajkamal Sweets,Kondhwa,,0,100,['Street Food']
Burosta,Kondhwa,,0,150,['Fast Food']
Coffee Craze,Rasta Peth,,0,300,"['Fast Food', 'Beverages']"
Hotel Real South,Budhwar Peth,,0,100,['South Indian']
Mahalaxmi Mess and Hotel,Hinjawadi,,0,200,"['Chinese', 'North Indian']"
Raje Bhosale,Pimpri,,0,350,['South Indian']
Sandwich & Pasta Club,Pimple Nilakh,,0,,"['Sandwich', 'Fast Food']"
Dadanchi Misal,Lonavala,,0,150,['Maharashtrian']
Hotel Malabar,Dhole Patil Road,3.4,0,,"['North Indian', 'Chinese']"
Son And Mom Royal Biryani,Lohegaon,3.3,,,"['Biryani', 'Maharashtrian']"
Shri Prabodh,Budhwar Peth,,0,150,"['Maharashtrian', 'Fast Food']"
Swad,Chinchwad,,0,150,['Street Food']
Eat And Treat,Wakad,3.3,,300,"['Sandwich', 'Fast Food', 'Rolls', 'Beverages']"
Anjali Snacks Center,Katraj,3,,100,['Street Food']
Moms Paratha,Hinjawadi,3,,,['North Indian']
Meals Parcel,Chandan Nagar,,0,,['North Indian']
JM Chinese,NIBM Road,,0,300,"['Chinese', 'North Indian']"
Suresh Inn,Magarpatta,,0,1000,"['North Indian', 'Chinese']"
Jagdamb Homemade Biryani,Pimpri Chinchwad Area,,0,,['Biryani']
Velchi,Chinchwad,,0,,['Maharashtrian']
Lazeez Hub,Pashan,3,,450,"['North Indian', 'Chinese']"
Ancient Udupi,Hinjawadi,,0,300,['South Indian']
RB'S Kitchen,Katraj,,0,300,['North Indian']
Hotel Kalvan,Katraj,,0,300,['North Indian']
Divya Food,Hadapsar,0,0,,"['North Indian', 'South Indian']"
Shanghai Express,Vishrantwadi,3.2,,300,['Chinese']
Y2k,Hinjawadi,0,0,300,"['North Indian', 'Maharashtrian']"
SS Biryani,Kothrud Area,,0,,['Biryani']
Cafe Ambrosial,Pimple Saudagar,,0,250,['Fast Food']
Desi Chinese Center,Karve Nagar,,0,300,['Chinese']
Fat Jar Cafe,Kothrud,3.1,,,['Fast Food']
Hotel Laxminarayan Pure Veg,Bhosari,,0,300,"['North Indian', 'Chinese']"
Biryaniwala,Kothrud,3.1,,,"['Biryani', 'Kebab', 'Healthy Food']"
Nayab Foods,Katraj,,0,,['North Indian']
Poorna Restaurant,Hinjawadi,,0,,"['Maharashtrian', 'North Indian', 'South Indian']"
Chavishta Katta,Kothrud,,0,150,['North Indian']
Hotel Vakratund,Narhe,,0,350,['North Indian']
Munchy Crunchy,Pimpri Chinchwad Area,,0,,"['Fast Food', 'Street Food', 'Beverages']"
Wheat N Meat,Lohegaon,3,,650,"['North Indian', 'Chinese', 'Goan']"
Radhakrushna Lunch Home,Bhosari,,0,150,['Maharashtrian']
Ting Tong,Kharadi,3.6,,,"['North Indian', 'Fast Food']"
The Burger Ville,Kharadi,,0,250,"['Burger', 'Fast Food']"
Shri Foods Tiffin & Much More,Pimpri Chinchwad Area,0,0,,['North Indian']
Jai Ganesh,Katraj,,0,300,"['Maharashtrian', 'Street Food']"
Instacrave,Senapati Bapat Road,,0,,"['Italian', 'Fast Food', 'North Indian']"
Food Express,Kharadi,,0,250,['Fast Food']
Meet Dinning Hall & Trisha Outdoor Catering,Kharadi,,0,250,['North Indian']
Hotel Panchpakwan,Katraj,,0,200,['North Indian']
Bhoomi Tiffin Service,Katraj,,0,300,['Maharashtrian']
Shri Adarsh Foods,Karve Nagar,,0,,"['North Indian', 'South Indian']"
Ganeshan Food,Chinchwad,,0,250,['North Indian']
Food Lovers,Chinchwad,,0,300,['Fast Food']
Hotel Omkar,Wakad,,0,250,['North Indian']
Avanti Snacks And Bhojnalay,Hadapsar,,0,200,"['North Indian', 'Street Food']"
Biryani Town,Dhankawadi,,0,300,['Biryani']
Sainath Snacks Center,Sinhgad Road,,0,200,"['Chinese', 'North Indian']"
Ashay's,Sinhgad Road,,0,250,['Momos']
Annpurna Hotel,Pashan,,0,500,"['South Indian', 'Fast Food', 'Chinese', 'North Indian']"
MP Tadka,Wakad,,0,,['North Indian']
Jee Aayan Nuu,Kharadi,3.4,,,"['North Indian', 'Chinese']"
Prasanna Hotel,Hadapsar,,0,200,['South Indian']
Shri Sai Lunch Home And Biryani House,Senapati Bapat Road,,0,,"['Chinese', 'South Indian', 'Biryani']"
Samad Foods New Poona Bakery,Hinjawadi,,0,150,"['Bakery', 'Street Food']"
Ezee Bzee,Wadgaon Sheri,,0,,"['Burger', 'Fast Food']"
Simran Court Restaurant & Bar,Wakad,0,0,1000,"['North Indian', 'Chinese', 'Continental']"
Matan kalwan,Katraj,,0,400,['Maharashtrian']
The Bespoke Nutrition,Warje,,0,,['Healthy Food']
Monar Cafe,Kothrud,,0,200,"['South Indian', 'North Indian']"
Muley Caterers,Lohegaon,,0,,"['Maharashtrian', 'North Indian']"
La Moreish,Katraj,,0,300,"['Desserts', 'Bakery']"
SK Hyderabadi Biryani House,Kharadi,0,0,300,['North Indian']
B3,Balewadi,3.1,,400,"['North Indian', 'Chinese', 'Biryani']"
Sai Abhiruchi,Sinhgad Road,,0,200,['South Indian']
