Restaurant_Name,Locality,Ratings_out_of_5,Number of votes,Charges_for_two,Cuisine_List
Ram Krishna,Camp Area,4.3,1754,900,"['Chinese', 'South Indian', 'Fast Food', 'North Indian']"
Shisha Jazz Cafe,Mundhwa,4.1,2818,2000,"['Iranian', 'North Indian', 'Continental']"
UFO Fries & Corn,Wakad,4.2,200,700,['Fast Food']
Garden Vada Pav Centre,Camp Area,4.3,2617,100,['Street Food']
Masaledar Biryani House,Sadashiv Peth,3.7,175,200,"['Biryani', 'Maharashtrian']"
Zinq- The Club Lounge,Magarpatta,0,0,1700,"['European', 'North Indian', 'Chinese', 'Bar Food']"
The Chocolate Room,Viman Nagar,3.9,,700,"['Cafe', 'Bakery', 'Fast Food']"
YOLO Gastro Lounge,Pimple Saudagar,3.8,1164,1600,"['North Indian', 'Continental', 'Pizza', 'Finger Food', 'Bar Food', 'European']"
Upsouth,Aundh,4.4,1770,400,['South Indian']
Mealstory,Hinjawadi,4,309,,['North Indian']
Latitude - Blue Diamond,Koregaon Park,4.2,739,2000,"['North Indian', 'Mediterranean', 'Italian', 'European', 'South Indian', 'Salad']"
Hotel Sangrilla,Ravet,4.4,623,550,"['North Indian', 'Chinese', 'Seafood']"
Zeta - Hyatt Regency Pune,Viman Nagar,4.9,228,2000,"['European', 'Continental', 'Healthy Food', 'Italian', 'Salad', 'Beverages']"
Cold Stone Creamery,Viman Nagar,4.2,207,400,"['Bakery', 'Desserts']"
The Fish Thali,Shivaji Nagar,4.2,,350,"['Maharashtrian', 'Seafood']"
TiffinGeek,Wakad,3.8,510,,"['North Indian', 'Healthy Food']"
Cream Craver,Camp Area,4.2,1270,650,"['North Indian', 'Chinese', 'Beverages']"
Natural Ice Cream,Kothrud,4.4,511,150,"['Ice Cream', 'Desserts']"
D Palace,Bavdhan,4,356,1200,"['North Indian', 'Chinese', 'Seafood', 'Mughlai']"
New Sarovar,Bhugaon,3.7,805,800,"['North Indian', 'Chinese']"
Maratha Samrat,Baner,4.2,1044,1100,['Maharashtrian']
Drinx Exchange,Kharadi,3.9,,1300,"['Italian', 'Mexican', 'Chinese', 'North Indian', 'Desserts']"
Indian Curry,Katraj,4.2,,,"['Chinese', 'North Indian', 'Biryani']"
Pune Bowl Company,Pimple Nilakh,3.8,157,350,"['North Indian', 'Chinese']"
Cake N Cafe,Hadapsar,3.5,,200,"['Bakery', 'North Indian']"
Shakahari - JW Marriott Pune,Senapati Bapat Road,4.2,962,2500,"['Rajasthani', 'Gujarati', 'North Indian']"
7th Heaven Cake Shop,Kothrud,4.3,339,600,"['Bakery', 'Desserts']"
Swig,Baner,4,,1700,"['Finger Food', 'Continental', 'Italian']"
Paprikaa,Karve Nagar,3.9,329,800,"['North Indian', 'Chinese']"
Cafe Farmaish,NIBM Road,0,0,350,"['Fast Food', 'North Indian']"
Pergola Kitchen And Bar,Kalyani Nagar,4,,1200,"['Continental', 'North Indian', 'Cafe']"
The Bar Stock Exchange,Koregaon Park,3.8,1055,1900,"['Continental', 'Chinese', 'North Indian', 'Italian']"
Levit 8,Aundh,4.1,,1500,"['North Indian', 'Continental']"
Arbour Kitchen | Drinks,Kalyani Nagar,4.2,335,1400,"['European', 'Continental', 'Italian', 'Tea', 'Coffee']"
Garden Of Edesia,Dhole Patil Road,4.2,441,1400,"['North Indian', 'Continental', 'Italian']"
